artist_id,name,external_url,follower_count,image_url,popularity
35l9BRT7MXmM8bv2WDQiyB,beabadoobee,https://open.spotify.com/artist/35l9BRT7MXmM8bv2WDQiyB,4044320,https://i.scdn.co/image/ab6761610000e5ebe7c6cea0c83857388127fced,80
587PA35pRGL1JwQr6idJbb,NEIL FRANCES,https://open.spotify.com/artist/587PA35pRGL1JwQr6idJbb,226151,https://i.scdn.co/image/ab6761610000e5ebb69ab0c311aa9b7817a550f0,67
1uRxRKC7d9zwYGSRflTKDR,SAULT,https://open.spotify.com/artist/1uRxRKC7d9zwYGSRflTKDR,457390,https://i.scdn.co/image/ab6761610000e5eb38dfd1af91aeccad71e6412f,66
6eU0jV2eEZ8XTM7EmlguK6,Black Pumas,https://open.spotify.com/artist/6eU0jV2eEZ8XTM7EmlguK6,1050041,https://i.scdn.co/image/ab6761610000e5eb39d27eaedd0adde305e9c98f,64
2HpfqDQ8DBQlnrbAsdIh7s,Take Care,https://open.spotify.com/artist/2HpfqDQ8DBQlnrbAsdIh7s,289996,https://i.scdn.co/image/ab6761610000e5ebce78ab0b536fd4ca2820e04f,64
7oeuJSyVZTCkm3BurLz8cG,Silver,https://open.spotify.com/artist/7oeuJSyVZTCkm3BurLz8cG,32156,https://i.scdn.co/image/ab67616d0000b27351d98ff76da5ca1f82c8cbc8,51
5bOsFzuJ6QZMr86ezC4oXY,The Ink Spots,https://open.spotify.com/artist/5bOsFzuJ6QZMr86ezC4oXY,335166,https://i.scdn.co/image/ab67616d0000b273383811a9b3081023c612fb7b,58
3q4qbeWVDpN7LcwU6db2a7,Klyne,https://open.spotify.com/artist/3q4qbeWVDpN7LcwU6db2a7,52726,https://i.scdn.co/image/ab6761610000e5ebf89d69cb9d69e87734fa2042,54
3gN8Ihw22Vt9mnK97gbwMQ,RUBII,https://open.spotify.com/artist/3gN8Ihw22Vt9mnK97gbwMQ,66654,https://i.scdn.co/image/ab6761610000e5eba8cfa58acae3fad75d641066,60
5E0ZEllVLvhodbjpK5k9s1,Potret,https://open.spotify.com/artist/5E0ZEllVLvhodbjpK5k9s1,145441,https://i.scdn.co/image/ab6761610000e5eb9eeac346f1b92132cf86f98e,49
4g69iZz2nk9El5Zf3ttiBN,Adikara,https://open.spotify.com/artist/4g69iZz2nk9El5Zf3ttiBN,21418,https://i.scdn.co/image/ab6761610000e5ebeceb2b2ed872fa3fce6d3d01,54
1m7Yt3zG3ko6zAGaY2BVVt,Elfa's Singers,https://open.spotify.com/artist/1m7Yt3zG3ko6zAGaY2BVVt,17723,https://i.scdn.co/image/ab67616d0000b2735cce2d6d4384d97feb6a8ad9,29
4ubEZ6sMsrrbQChueyouCC,Hivi!,https://open.spotify.com/artist/4ubEZ6sMsrrbQChueyouCC,2118924,https://i.scdn.co/image/ab6761610000e5eb576d29c38e75b876e1132923,67
0e5blBgpur3Y18wS1bzXQC,Rahmania Astrini,https://open.spotify.com/artist/0e5blBgpur3Y18wS1bzXQC,194782,https://i.scdn.co/image/ab6761610000e5eb32d0998558ed8af0985f199d,39
30qVSJGhPhrZLKG0H9DMA9,Bunga Citra Lestari,https://open.spotify.com/artist/30qVSJGhPhrZLKG0H9DMA9,3354185,https://i.scdn.co/image/ab6761610000e5eb830d0e856b72be52d994f588,59
4sZCNSc9bpEa6bjM8Z3NOu,Sandhy Sondoro,https://open.spotify.com/artist/4sZCNSc9bpEa6bjM8Z3NOu,132161,https://i.scdn.co/image/ab6761610000e5eb8c266af61fe4d4a69bec1dbd,38
17Wt0hzZb6fAEVfIHffQFB,Maudy Ayunda,https://open.spotify.com/artist/17Wt0hzZb6fAEVfIHffQFB,1825786,https://i.scdn.co/image/ab6761610000e5eb50af5a9c260940faf24ffd75,61
4Z9pg3LzMfuuSgl3hMDYuG,Diskoria,https://open.spotify.com/artist/4Z9pg3LzMfuuSgl3hMDYuG,74793,https://i.scdn.co/image/ab6761610000e5eb8d8468b62ccbbe42d22e41d7,55
3TkSKriI4EZmTxSFyzs0fd,Ardhito Pramono,https://open.spotify.com/artist/3TkSKriI4EZmTxSFyzs0fd,1131108,https://i.scdn.co/image/ab6761610000e5ebe8a47fac892453717b0bf3f7,60
2NteKKMj3takKR3ABTd279,Chrisye,https://open.spotify.com/artist/2NteKKMj3takKR3ABTd279,2134891,https://i.scdn.co/image/ab6761610000e5ebde4b65749982d5d0cd10d5e7,61
4GJ6xDCF5jaUqD6avOuQT6,FIFTY FIFTY,https://open.spotify.com/artist/4GJ6xDCF5jaUqD6avOuQT6,1670460,https://i.scdn.co/image/ab6761610000e5ebf5b576e445d9bb5862084db2,67
66P3FEL28QNJw9ylq00wRa,Andity,https://open.spotify.com/artist/66P3FEL28QNJw9ylq00wRa,825,https://i.scdn.co/image/ab67616d0000b27337b8d1b4a626589a8bffd995,38
2feDdbD5araYcm6JhFHHw7,Labrinth,https://open.spotify.com/artist/2feDdbD5araYcm6JhFHHw7,3317980,https://i.scdn.co/image/ab6761610000e5eb7885d725841e0338092f5f6f,77
3wrFoI9EVjWg6m8xXeWr5t,VALORANT,https://open.spotify.com/artist/3wrFoI9EVjWg6m8xXeWr5t,371572,https://i.scdn.co/image/ab6761610000e5ebf777c8d6f705fa1e32f75b86,67
3MZsBdqDrRTJihTHQrO6Dq,Joji,https://open.spotify.com/artist/3MZsBdqDrRTJihTHQrO6Dq,9781324,https://i.scdn.co/image/ab6761610000e5eb4111c95b5f430c3265c7304b,79
49tQo2QULno7gxHutgccqF,LANY,https://open.spotify.com/artist/49tQo2QULno7gxHutgccqF,6017027,https://i.scdn.co/image/ab6761610000e5eb90c77d2ffb0fe10130f03230,75
5JZ7CnR6gTvEMKX4g70Amv,Lauv,https://open.spotify.com/artist/5JZ7CnR6gTvEMKX4g70Amv,6297551,https://i.scdn.co/image/ab6761610000e5ebb173d69f77530d77a991984f,76
3RqBeV12Tt7A8xH3zBDDUF,Kelsea Ballerini,https://open.spotify.com/artist/3RqBeV12Tt7A8xH3zBDDUF,1195432,https://i.scdn.co/image/ab6761610000e5ebb66b3897322ef6750b37afb4,70
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,10144826,https://i.scdn.co/image/ab6761610000e5eba7bfd7835b5c1eee0c95fa6e,81
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C,59252096,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,93
2sSGPbdZJkaSE2AbcGOACx,The Marías,https://open.spotify.com/artist/2sSGPbdZJkaSE2AbcGOACx,1488771,https://i.scdn.co/image/ab6761610000e5ebaf586afa2b397f1288683a76,76
1AhjOkOLkbHUfcHDSErXQs,88rising,https://open.spotify.com/artist/1AhjOkOLkbHUfcHDSErXQs,988413,https://i.scdn.co/image/ab6761610000e5eb500d220da763cbff33c69128,67
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,99881752,https://i.scdn.co/image/ab6761610000e5eb40b5c07ab77b6b1a9075fdc0,91
0kPb52ySN2k9P6wEZPTUzm,Tiara Andini,https://open.spotify.com/artist/0kPb52ySN2k9P6wEZPTUzm,7514472,https://i.scdn.co/image/ab6761610000e5ebaba46ef4a37dae4a8d99f07e,73
1dPSMH55yhvjYIwqCP4iDj,Luke Chiang,https://open.spotify.com/artist/1dPSMH55yhvjYIwqCP4iDj,429425,https://i.scdn.co/image/ab6761610000e5eb4342103a5faae2cbac0f5bae,63
7JUNqSO2J7JcC76ShZ9DI9,Paul Partohap,https://open.spotify.com/artist/7JUNqSO2J7JcC76ShZ9DI9,167115,https://i.scdn.co/image/ab6761610000e5eb69e4cbf63abab35e16c72f88,58
4rqJz9fE9prZvQd8WsQv6q,THE ORAL CIGARETTES,https://open.spotify.com/artist/4rqJz9fE9prZvQd8WsQv6q,606410,https://i.scdn.co/image/ab6761610000e5ebb41d06008db6aff64378b802,58
4OfU76YhPU04wlmbVFFgTJ,ATARASHII GAKKO!,https://open.spotify.com/artist/4OfU76YhPU04wlmbVFFgTJ,817744,https://i.scdn.co/image/ab6761610000e5eba417f6076afb6ab1ab4ac2ad,60
1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,https://open.spotify.com/artist/1Ffb6ejR6Fe5IamqA5oRUF,5867791,https://i.scdn.co/image/ab6761610000e5ebe7c9399d0b5d813c20cbec65,80
